,MAX_RETURN_NET,SPY
2006-11-30,1828529.313004203,1661255.4326315206
2006-12-31,1804887.9021115697,1683468.9733028621
2007-01-31,1878821.3060731767,1708789.018562073
2007-02-28,1846428.4401309998,1675267.0880838525
2007-03-31,1866344.65230738,1694681.4271272577
2007-04-30,2006526.2112915718,1769747.7422338657
2007-05-31,2131868.6016964596,1829778.2724494676
2007-06-30,2037818.9278784252,1803026.3698260288
2007-07-31,2006067.2325683204,1746572.5331177926
2007-08-31,2060758.9706818033,1768985.769410426
2007-09-30,2171103.0983699616,1837471.2352373365
2007-10-31,2357020.3964801966,1862399.3281403058
2007-11-30,2216643.566366551,1790264.1907658787
2007-12-31,2203211.0541080325,1770104.5522649733
2008-01-31,1959131.4593664838,1663081.935741873
2008-02-29,1838109.1849970876,1620103.6416426797
2008-03-31,1907560.157639713,1605615.897464442
2008-04-30,1998521.5030302813,1682143.6972239865
2008-05-31,2052090.5943331819,1707572.3758751263
2008-06-30,1808722.9368034569,1564860.2913016584
2008-07-31,1823635.036214297,1550798.4874948466
2008-08-31,1870630.590945722,1574763.8858997955
2008-09-30,1659625.257334332,1426463.4020900186
2008-10-31,1471569.5327463811,1190830.6491351777
2008-11-30,1313605.3453572786,1107940.8059597276
2008-12-31,1282481.9125397687,1118794.3976464386
2009-01-31,1215154.415084693,1026925.2415008796
2009-02-28,1086849.7438535413,916583.4067175193
2009-03-31,1156538.6639661405,992944.9217159814
2009-04-30,1265705.3538931792,1091589.4924960872
2009-05-31,1355429.1400100512,1155397.0531236522
2009-06-30,1352796.74378431,1154640.2105666555
2009-07-31,1451999.4541268128,1240783.027436921
2009-08-31,1512960.0888084213,1286616.8278382614
2009-09-30,1572103.379203632,1332236.56787227
2009-10-31,1560187.4082290418,1306624.3539391332
2009-11-30,1639973.5373169105,1387121.184332268
2009-12-31,1667390.524250503,1413616.5736335593
2010-01-31,1555156.7288340337,1362241.9572171685
2010-02-28,1620644.2874662485,1404736.8519607743
2010-03-31,1733445.2281729192,1490257.1109981877
2010-04-30,1785415.0768808427,1513311.5023395289
2010-05-31,1664628.3760461921,1393072.1651494324
2010-06-30,1575795.957695688,1320992.9476792337
2010-07-31,1681605.7090186127,1411217.4045315124
2010-08-31,1590903.8530508005,1347740.2330628736
2010-09-30,1738275.1482518413,1468436.6769930373
2010-10-31,1816796.188758708,1524533.8319268273
2010-11-30,1827107.5662006617,1524533.8319268273
2010-12-31,1918973.7443042682,1626452.8593924784
2011-01-31,1971613.4087754101,1664349.2398099436
2011-02-28,2050671.284059586,1722164.136205495
2011-03-31,2047522.2160742593,1722371.014199807
2011-04-30,2090072.2762137102,1772253.1078512818
2011-05-31,2057415.1703145443,1752378.4556512826
2011-06-30,2006451.1290397258,1722816.7060970385
2011-07-31,2058819.582894508,1688351.8326466035
2011-08-31,1939271.768290199,1595533.897850751
2011-09-30,1811925.3473032706,1484770.5475507716
2011-10-31,2021104.4090607592,1646829.2516505981
2011-11-30,1985961.6011594483,1640136.8190757663
2011-12-31,2018157.656083967,1657273.5763318227
2012-01-31,2184922.314927644,1734129.0718604105
2012-02-29,2326495.3055667556,1809399.443314787
2012-03-31,2454509.1240554256,1867596.5445603388
2012-04-30,2440088.408391622,1855129.6123339802
2012-05-31,2309691.3411360052,1743717.7963556114
2012-06-30,2366654.66370519,1814480.5874565484
2012-07-31,2429495.910329591,1835944.5962005744
2012-08-31,2520768.3242410324,1881939.615224885
2012-09-30,2521040.0415090867,1929648.528011125
2012-10-31,2475595.391376153,1894532.6237490792
2012-11-30,2467185.183494523,1905254.8806148504
2012-12-31,2426988.28717597,1922278.0024691955
2013-01-31,2398881.2243645326,2020678.436694947
2013-02-28,2413987.8168394594,2046460.8472173284
2013-03-31,2495725.4016933627,2124167.582205463
2013-04-30,2529192.604409323,2164977.31267922
2013-05-31,2562692.1766769285,2216091.9528436144
2013-06-30,2485020.6842323877,2186519.0449598567
2013-07-31,2692776.514142305,2299512.650339249
2013-08-31,2651131.1552654714,2230544.426440057
2013-09-30,2704842.8645483335,2301133.044995256
2013-10-31,2872829.569398524,2407690.987635285
2013-11-30,3033523.185943497,2479049.659183571
2013-12-31,3070371.1727716047,2543322.6632341733
2014-01-31,2995209.6364278933,2453674.0787901157
2014-02-28,3131809.072580401,2565356.1315533663
2014-03-31,3196945.8075440894,2586637.246298701
2014-04-30,3237899.6385437604,2604618.3171546063
2014-05-31,3295900.1058468176,2665061.577305544
2014-06-30,3321435.8477539844,2720081.3762863134
2014-07-31,3378219.618972476,2683529.510446885
2014-08-31,3539603.1541316644,2789431.035495539
2014-09-30,3558276.569782817,2750947.3678270173
2014-10-31,3704041.2938814647,2815734.681088525
2014-11-30,3820966.866107943,2893088.325488724
2014-12-31,3729173.1691387338,2885750.505395368
2015-01-31,3692308.9057101826,2800247.4327505385
2015-02-28,4003266.828680247,2957634.7727407343
2015-03-31,3888204.9792265547,2911183.544772984
2015-04-30,3877455.3287625243,2939810.688037983
2015-05-31,4000197.171808824,2977605.873949861
2015-06-30,3869400.2039494524,2917124.3933139234
2015-07-31,3993360.7587957755,2983019.5876137866
2015-08-31,3754236.573555794,2801204.740468793
2015-09-30,3642853.7109391773,2729728.3293056414
2015-10-31,3992228.1728885532,2961918.0321939555
2015-11-30,4059821.236280656,2972744.689981841
2015-12-31,3969679.6006412925,2921369.175768823
2016-01-31,3817534.063936816,2775923.8134912103
2016-02-29,3739744.2767520123,2773631.3539311774
2016-03-31,4005434.1384606883,2960201.4450421436
2016-04-30,3778581.2171949586,2971868.696986707
2016-05-31,3949295.2594248476,3022424.6511354633
2016-06-30,3927544.9799190126,3032930.923783986
2016-07-31,4100331.8204629,3143544.8550738147
2016-08-31,4115025.7290120614,3147310.2141296198
2016-09-30,4174627.6920574238,3147492.595101666
2016-10-31,4196016.883864331,3092923.49002791
2016-11-30,4278091.656288882,3206862.3469994166
2016-12-31,4353441.297354988,3271871.031257938
2017-01-31,4378970.873762839,3330420.9665781036
2017-02-28,4636821.817445156,3461277.3901718906
2017-03-31,4646121.101978179,3465604.256889877
2017-04-30,4718378.327148434,3500004.4889831305
2017-05-31,4821077.852290624,3549400.2333758133
2017-06-30,4834788.037372647,3572026.50398249
2017-07-31,4985202.543987265,3645446.00356091
2017-08-31,5186763.736993033,3656083.098003729
2017-09-30,5249688.537720515,3729751.1589913103
2017-10-31,5620229.06703848,3817639.2925054687
2017-11-30,5776331.387094099,3934328.998343686
2017-12-31,5689565.646254226,3982044.0674496577
2018-01-31,6121182.717745883,4206468.599049918
2018-02-28,6166346.226574884,4053520.222099487
2018-03-31,5978165.300999306,3942411.220097914
2018-04-30,5874302.417555675,3962786.8428160674
2018-05-31,6049180.616492308,4059117.342788749
2018-06-30,5906836.589452844,4082460.568130829
2018-07-31,6178750.132670253,4233702.618462333
2018-08-31,6517366.341745426,4368843.071049308
2018-09-30,6583104.668934701,4394816.070970046
2018-10-31,6119237.575614219,4091116.097160057
2018-11-30,5929249.456622733,4167003.254897538
2018-12-31,5308951.480987521,3800104.298316779
2019-01-31,5625245.221003934,4104363.214655727
2019-02-28,5840855.96504683,4237408.979454044
2019-03-31,6056204.803024216,4314108.771396088
2019-04-30,6624554.529686117,4490349.840564135
2019-05-31,6085358.001582189,4203995.041084448
2019-06-30,6589208.926239965,4496535.915841048
2019-07-31,6808780.29741327,4564521.693716415
2019-08-31,6657120.737144235,4488095.088462458
2019-09-30,6914479.059543228,4575422.996881045
2019-10-31,7114800.7307273485,4676561.582564063
2019-11-30,7434236.815733546,4845846.010435468
2019-12-31,7573402.8780160695,4986644.120855731
2020-01-31,7737267.042893561,4984629.978250228
2020-02-29,7029530.231964239,4590019.117937892
2020-03-31,6448752.910269035,4016857.28599157
2020-04-30,7282932.438565382,4526931.205435613
2020-05-31,7613832.73848523,4742617.354203592
2020-06-30,8169054.574842654,4826725.507402582
2020-07-31,8816926.445868265,5110983.310473713
2020-08-31,9866266.114532601,5467713.309424574
2020-09-30,9259164.344567785,5262980.792538944
2020-10-31,8922117.695849678,5131756.272327874
2020-11-30,9574049.686915642,5689973.894639197
2020-12-31,9829695.015346047,5900776.029753486
2021-01-31,9760173.300352998,5840646.228882212
2021-02-28,9574698.680887805,6003047.378267106
2021-03-31,9857925.599799013,6275581.4964628015
2021-04-30,10344454.8168229,6607626.192370105
2021-05-31,10199213.128388328,6651010.803571579
2021-06-30,10804295.43311282,6800176.891586943
2021-07-31,11228048.03330262,6966185.131307877
2021-08-31,11684730.670649914,7173499.198267602
2021-09-30,11033129.815331522,6839174.098926405
2021-10-31,11959726.45912418,7319036.135801221
2021-11-30,12150752.049451891,7260228.9176189415
2021-12-31,12466659.489327753,7595997.160910541
2022-01-31,11724017.071084928,7195375.167406999
2022-02-28,11204855.756536879,6982988.806015126
2022-03-31,11567044.514685597,7245482.479755318
2022-04-30,10516416.112826364,6609552.09439279
2022-05-31,10374935.345060322,6624472.961315475
2022-06-30,9837986.799842473,6078216.042189253
2022-07-31,10719718.607233234,6637943.501914737
2022-08-31,10307278.139376516,6367102.371645215
2022-09-30,9478155.911284156,5778489.459739329
2022-10-31,10126801.791422071,6248139.701259447
2022-11-30,10361626.313846935,6595482.851699636
2022-12-31,9797594.044517493,6215396.80174059
2023-01-31,9657734.287183272,6606267.184789369
2023-02-28,9703068.644888641,6440168.652379039
2023-03-31,10349729.456144614,6678954.851859702
2023-04-30,10686759.025860213,6785650.542153726
2023-05-31,10677766.144434867,6816974.409974462
2023-06-30,11369711.007436752,7258713.436911696
2023-07-31,11667795.146484992,7496315.570897324
2023-08-31,11177658.083477156,7374484.0555166565
2023-09-30,10714143.02873782,7024679.403237139
2023-10-31,10805924.32415923,6872183.772300298
2023-11-30,11902897.068092015,7499915.478860344
2023-12-31,12245949.27329606,7842326.9041689215
2024-01-31,12233131.089267427,7967227.344935763
2024-02-29,12582886.023287734,8383011.327884809
2024-03-31,12794662.45936647,8657152.245530438
2024-04-30,12370536.285780763,8308099.177284812
2024-05-31,12935029.481955709,8728320.327680368
2024-06-30,13498993.895277536,9036256.362492302
2024-07-31,13596175.059021572,9145676.73729418
2024-08-31,13922762.550989484,9359371.82965565
2024-09-30,13913006.962058526,9555961.587643024
2024-10-31,13677300.739298308,9470688.350934839
2024-11-30,14408487.075274277,10035457.836520458
2024-12-31,14265936.144378873,9829764.933756707
